topic,course_id,title,url,thumbnail,instructor,instructor_photo,num_lectures,subscribers,price,currency,duration,rating,description
Graphic Design,2749280,Digital Design Masterclass For Graphic Designers,https://www.udemy.com/course/digital-design-masterclass-for-graphic-designers/,https://img-c.udemycdn.com/course/480x270/2749280_1652_2.jpg,Lindsay Marsh,https://img-c.udemycdn.com/user/100x100/16146540_ef4c_15.jpg,67,11340,$64.99,USD,9.5 total hours,4.72,"Icon Set Design, E-book cover, Digitizing Sketches, Social Media Design, Wordpress Web Design, Adobe Xd, GIFS and more!"
Graphic Design,1623798,Adobe Illustrator CC – Advanced Training Course,https://www.udemy.com/course/adobe-illustrator-cc-advanced-training/,https://img-c.udemycdn.com/course/480x270/1623798_db31_6.jpg,Daniel Walter Scott,https://img-c.udemycdn.com/user/100x100/11614232_b0fc.jpg,102,57876,$74.99,USD,10 total hours,4.769802,"In this Adobe Illustrator Advanced course we'll learn Advanced techniques for graphic design, logo design & illustration"
Graphic Design,5870944,Canva Masterclass: Beginner to Pro Graphic Design in Canva,https://www.udemy.com/course/canva-graphic-design-masterclass/,https://img-c.udemycdn.com/course/480x270/5870944_87b5_2.jpg,Video School,https://img-c.udemycdn.com/user/100x100/19701574_95d1_13.jpg,94,3042,$44.99,USD,6 total hours,4.6494846,"Master Graphic Design for Free with Canva: Design, Layout, Colors, Font Choice, Slideshows, Videos, GIFs + More in Canva"
Graphic Design,2518396,Master Graphic Design & Software with Practical Projects,https://www.udemy.com/course/master-graphic-design-through-projects-beginner-to-advanced/,https://img-c.udemycdn.com/course/480x270/2518396_fdeb.jpg,Lindsay Marsh,https://img-c.udemycdn.com/user/100x100/16146540_ef4c_15.jpg,65,5329,$64.99,USD,11 total hours,4.68,"Conquer Popular Graphic Design Projects: Logo, Package, Magazine, Book Cover Design, Branding, Digital Graphics & More!"
Graphic Design,3543948,The Branding Masterclass The Entire Brand Design Process,https://www.udemy.com/course/the-branding-masterclass-the-entire-brand-design-process/,https://img-c.udemycdn.com/course/480x270/3543948_4412_6.jpg,Lindsay Marsh,https://img-c.udemycdn.com/user/100x100/16146540_ef4c_15.jpg,56,27207,$69.99,USD,8.5 total hours,4.6933084,"Sketching, Graphic Design, Logo Design, Brand Voice, Color & Typographic Systems, Portfolio and Client Presentations"
Graphic Design,1529012,Social Media Content Creation: Canva Beginner to Advanced,https://www.udemy.com/course/design-school-create-social-media-graphics/,https://img-c.udemycdn.com/course/480x270/1529012_6f0f_14.jpg,Maggie Stara,https://img-c.udemycdn.com/user/100x100/18924688_6b66_13.jpg,52,29202,$74.99,USD,8 total hours,4.6698112,"Using Canva you'll learn to design incredible graphics, videos, and more for use in your social media marketing in 2025!"
Graphic Design,2271440,47 Graphic Design Projects for Photoshop Beginners,https://www.udemy.com/course/47-photoshop-cc-essential-projects-4-graphic-design-ers/,https://img-c.udemycdn.com/course/480x270/2271440_d024_8.jpg,Chris Parker,https://img-c.udemycdn.com/user/100x100/761926_86b2_2.jpg,65,3653,$74.99,USD,8 total hours,4.65,Photoshop graphic design for beginners!  Includes 47 Photoshop projects for your graphic design portfolio.
Graphic Design,4621264,Graphic Design Theory - Psychology of Design,https://www.udemy.com/course/graphic-design-theory-psychology-of-design/,https://img-c.udemycdn.com/course/480x270/4621264_c536_2.jpg,Martin Perhiniak,https://img-c.udemycdn.com/user/100x100/713757_e8ae_6.jpg,25,4719,$49.99,USD,1.5 total hours,4.5875,Unlock the Secrets of How We See and React to Visuals
Graphic Design,1835828,Adobe Photoshop CC – Advanced Training Course,https://www.udemy.com/course/adobe-photoshop-cc-advanced-training-course-tutorial/,https://img-c.udemycdn.com/course/480x270/1835828_92e5_2.jpg,Daniel Walter Scott,https://img-c.udemycdn.com/user/100x100/11614232_b0fc.jpg,106,67964,$74.99,USD,15.5 total hours,4.7233334,You'll learn advanced Photoshop techniques like Photoshop retouching & Graphic Design tutorials.
Graphic Design,2472386,Graphic Design Masterclass: Design 40+ Projects in Photoshop,https://www.udemy.com/course/ultimate-graphic-design-course/,https://img-c.udemycdn.com/course/480x270/2472386_85b3_4.jpg,Cristian Barin,https://img-c.udemycdn.com/user/100x100/342181_8b81_6.jpg,169,4853,$74.99,USD,16.5 total hours,4.46,"Build a portfolio: YT thumbnails, banners, catalogues, Instagram, Facebook Graphics, Cards, CV, Newsletters and more"
Graphic Design,18840,Logo Design in Adobe Illustrator: 10 Graphic Design Tools,https://www.udemy.com/course/logo-design-for-beginners-in-adobe-illustrator/,https://img-c.udemycdn.com/course/480x270/18840_abf9_7.jpg,Tony Ross,https://img-c.udemycdn.com/user/100x100/115041_df14_3.jpg,80,107,$39.99,USD,5 total hours,5.0,Quickly Learn Logo Design in Adobe Illustrator for Beginners | Graphic Design | Design Theory | Adobe Illustrator Tips
Graphic Design,4623382,Graphic Design Theory - Unity & Harmony,https://www.udemy.com/course/graphic-design-theory-unity-harmony/,https://img-c.udemycdn.com/course/480x270/4623382_6a71_3.jpg,Martin Perhiniak,https://img-c.udemycdn.com/user/100x100/713757_e8ae_6.jpg,21,2205,$49.99,USD,1.5 total hours,4.71,Master the visual rhythm of your design
Graphic Design,1747782,Adobe Photoshop CC – Essentials Training Course,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/,https://img-c.udemycdn.com/course/480x270/1747782_399b_3.jpg,Daniel Walter Scott,https://img-c.udemycdn.com/user/100x100/11614232_b0fc.jpg,92,142424,$74.99,USD,11.5 total hours,4.7021465,This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.
Graphic Design,5599656,Graphic Design Ultimate Mastery Course,https://www.udemy.com/course/graphic-design-ultimate-mastery-course/,https://img-c.udemycdn.com/course/480x270/5599656_a2bb_4.jpg,Yaseen Ahmed,https://img-c.udemycdn.com/user/100x100/79989736_1521_2.jpg,200,89,$19.99,USD,27 total hours,4.571429,Become a Pro Graphic Designer
Graphic Design,749542,Graphic Design Bootcamp: Create Projects Right Away!,https://www.udemy.com/course/graphic-design-for-beginners/,https://img-c.udemycdn.com/course/480x270/749542_4762_3.jpg,Derrick Mitchell,https://img-c.udemycdn.com/user/100x100/10952512_1609_5.jpg,109,119961,$74.99,USD,17 total hours,4.24,"Bestselling Beginner Course! Use Photoshop, Illustrator, & InDesign for logo design, web design, poster design, and more"
Graphic Design,6102515,Inkscape: From Beginner to Pro In Inkscape & Graphic Design,https://www.udemy.com/course/inkscape-beginner-to-pro-in-inkscape-and-vector-design/,https://img-c.udemycdn.com/course/480x270/6102515_4305.jpg,Michael Davies,https://img-c.udemycdn.com/user/100x100/30337248_73e2_7.jpg,80,532,$39.99,USD,7.5 total hours,4.7,"Master Inkscape, the free Illustrator alternative for graphic design, with project-based learning from a 10-year expert."
Graphic Design,278948,Become a Professional Graphic Designer,https://www.udemy.com/course/become-a-professional-graphic-designer-udemy/,https://img-c.udemycdn.com/course/480x270/278948_8ff9_3.jpg,Stone River eLearning,https://img-c.udemycdn.com/user/100x100/214757_152e_9.jpg,203,15853,$69.99,USD,20.5 total hours,4.39,Learn what you need to know to break into the world of graphic design.
Graphic Design,6286215,Canva Design Essentials,https://www.udemy.com/course/canva-design-essentials/,https://img-c.udemycdn.com/course/480x270/6286215_b1bc.jpg,Daniel Walter Scott,https://img-c.udemycdn.com/user/100x100/11614232_b0fc.jpg,83,924,$39.99,USD,7.5 total hours,4.6916666,This Canva Essentials course is your gateway to mastering Canva & building a strong foundation in design principles.
Graphic Design,1316728,Adobe InDesign CC - Essentials Training Course,https://www.udemy.com/course/indesign-tutorial-basics-course/,https://img-c.udemycdn.com/course/480x270/1316728_26f9_6.jpg,Daniel Walter Scott,https://img-c.udemycdn.com/user/100x100/11614232_b0fc.jpg,81,69664,$74.99,USD,7.5 total hours,4.7436304,"Build company newsletters, brochures, annual reports. Learn typography, color theory & graphic design skills in InDesign"
Graphic Design,5575874,Graphic Design Masterclass Bootcamp from Beginner to Expert,https://www.udemy.com/course/graphic-design-masterclass-bootcamp-from-beginner-to-expert/,https://img-c.udemycdn.com/course/480x270/5575874_045f_2.jpg,Sayman Creative Institute,https://img-c.udemycdn.com/user/100x100/244189076_2495.jpg,68,17146,$27.99,USD,16.5 total hours,4.5,Learn graphic design whit adobe photoshop illustrator lightroom canva and make stunning graphics with combine of them
Graphic Design,5409248,Graphic Design Best Practices to Become a Design Guru,https://www.udemy.com/course/graphic-design-best-practices/,https://img-c.udemycdn.com/course/480x270/5409248_6944_4.jpg,Anass Cherkaoui,https://img-c.udemycdn.com/user/100x100/45127888_27d2_4.jpg,21,6,$19.99,USD,1.5 total hours,4.5,From Good to Great: Elevate Your Designs with Graphic Design Best Practices
